aX,aY,aZ,gX,gY,gZ
0.803,-0.446,-0.563,9.583,-2.808,0.61
0.797,-0.438,-0.551,8.911,-4.822,2.136
0.794,-0.431,-0.539,7.751,-5.737,4.395
0.785,-0.418,-0.535,7.568,-6.714,7.019
0.776,-0.41,-0.525,7.874,-6.836,8.179
0.767,-0.401,-0.524,7.874,-7.874,9.827
0.761,-0.398,-0.524,7.812,-8.667,9.949
0.753,-0.403,-0.525,7.507,-8.179,9.155
0.764,-0.41,-0.539,7.69,-7.141,7.507
0.771,-0.418,-0.56,9.155,-6.226,6.042
0.778,-0.427,-0.58,9.033,-6.653,6.592
0.779,-0.428,-0.594,8.301,-7.935,7.507
0.777,-0.424,-0.592,7.324,-8.789,8.484
0.769,-0.418,-0.579,5.066,-9.216,10.132
0.754,-0.406,-0.57,3.967,-11.23,12.451
0.688,-0.379,-0.55,4.883,-13.123,13.672
,,,,,
0.413,0.113,2.257,78.003,87.83,-10.925
0.388,0.063,2.4,61.951,120.3,-8.545
0.385,0.049,2.48,38.757,153.503,-9.033
0.399,0.064,2.488,8.423,187.622,-12.39
0.404,0.14,2.516,-12.573,219.177,-20.386
0.371,0.195,2.397,-16.418,241.76,-28.076
0.335,0.255,2.281,-18.494,269.897,-27.832
0.269,0.247,2.181,-17.151,299.744,-29.297
0.158,0.222,2.016,-17.761,318.787,-36.804
0.045,0.229,1.799,-30.212,337.769,-42.053
-0.014,0.192,1.552,-41.809,359.619,-43.396
-0.1,0.176,1.233,-39.063,381.592,-43.945
-0.118,0.054,1.087,-35.461,403.992,-36.743
-0.229,0.07,0.802,-44.495,406.555,-38.208
-0.217,-0.031,0.521,-38.818,413.208,-40.527
-0.184,-0.118,0.392,-29.846,411.011,-48.767
-0.178,-0.143,0.226,-32.898,394.836,-63.599
-0.209,-0.134,0.058,-42.542,371.582,-74.219
-0.168,-0.138,-0.046,-41.443,355.347,-83.801
-0.098,-0.163,-0.141,-31.738,339.539,-91.98
-0.075,-0.256,-0.281,-22.705,326.538,-99.487
0.061,-0.238,-0.375,-19.043,311.401,-104.065
0.175,-0.233,-0.513,-13.794,300.11,-97.29
0.219,-0.27,-0.591,0.183,293.518,-79.895
0.369,-0.334,-0.573,5.249,278.32,-61.401
0.398,-0.37,-0.566,0.61,254.944,-51.636
0.413,-0.316,-0.561,-10.376,225.769,-40.649
0.455,-0.279,-0.535,-12.268,209.473,-20.63
0.494,-0.267,-0.446,0.732,205.811,4.761
0.515,-0.267,-0.34,24.536,194.946,31.006
0.555,-0.277,-0.328,53.406,164.062,52.246
0.576,-0.288,-0.371,84.045,130.31,64.697
0.585,-0.396,-0.547,111.023,100.647,73.914
0.661,-0.507,-0.768,118.958,95.337,68.604
0.701,-0.421,-0.784,71.35,116.76,40.588
0.727,-0.357,-0.694,-2.808,135.62,14.893
0.724,-0.315,-0.623,-50.842,140.564,-0.305
0.707,-0.283,-0.595,-71.899,138.733,-6.165
0.697,-0.256,-0.596,-73.914,130.92,-4.761
0.69,-0.24,-0.61,-70.862,124.023,1.038
0.649,-0.245,-0.639,-61.035,119.873,6.653
0.616,-0.24,-0.658,-51.025,116.638,13.611
0.606,-0.234,-0.669,-40.894,114.502,18.86
0.591,-0.235,-0.709,-27.588,113.953,21.606
0.583,-0.229,-0.761,-19.287,113.953,22.888
0.589,-0.228,-0.821,-17.395,112.183,23.56
0.583,-0.213,-0.86,-23.315,112.122,21.729
0.587,-0.181,-0.847,-34.302,111.938,18.311
0.577,-0.155,-0.846,-37.842,110.535,16.052
0.61,-0.162,-0.848,-33.997,107.056,14.954
0.595,-0.172,-0.85,-29.358,101.074,14.404
0.588,-0.19,-0.879,-23.132,91.98,14.038
0.579,-0.21,-0.883,-19.714,83.008,13.306
0.557,-0.204,-0.848,-18.25,75.317,12.878
0.582,-0.195,-0.88,-15.564,69.092,11.841
0.577,-0.231,-0.877,-2.563,59.57,12.207
0.588,-0.198,-0.904,4.456,53.589,10.803
0.61,-0.213,-0.91,12.268,46.997,8.179
0.561,-0.199,-0.911,10.315,43.396,7.812
0.588,-0.202,-0.917,7.019,37.659,4.028
0.584,-0.204,-0.908,2.686,32.532,-0.732
0.597,-0.204,-0.89,0.793,27.527,-3.479
0.609,-0.212,-0.871,1.77,25.146,-5.737
0.615,-0.215,-0.88,3.662,20.325,-6.714
0.626,-0.214,-0.864,2.686,14.893,-7.629
0.63,-0.196,-0.831,1.953,6.836,-7.08
0.623,-0.196,-0.811,1.648,1.953,-6.042
0.597,-0.161,-0.804,5.127,-0.427,-6.348
0.596,-0.132,-0.776,4.028,0.427,-3.296
0.626,-0.118,-0.76,0,3.235,-2.197
0.644,-0.106,-0.763,1.404,4.883,-3.418
0.655,-0.116,-0.778,2.869,6.958,-4.028
0.679,-0.141,-0.786,3.357,6.958,-3.54
0.687,-0.151,-0.782,3.235,6.653,-4.395
0.678,-0.157,-0.771,-0.977,6.958,-3.662
0.667,-0.168,-0.745,-1.953,6.653,-2.502
0.651,-0.178,-0.723,-0.793,7.507,-1.77
0.64,-0.181,-0.729,2.93,9.338,-2.319
0.635,-0.182,-0.742,4.211,10.62,-2.686
0.624,-0.187,-0.755,3.479,10.254,-1.16
0.64,-0.18,-0.773,5.493,10.01,-0.427
0.662,-0.17,-0.787,7.202,9.583,-0.366
0.675,-0.173,-0.801,6.165,8.85,0.305
0.685,-0.179,-0.809,5.371,6.409,1.099
0.692,-0.181,-0.795,2.747,4.15,0.305
0.697,-0.185,-0.781,2.258,0.244,0.244
0.686,-0.191,-0.776,1.282,-2.991,0.488
0.68,-0.19,-0.772,-0.183,-3.845,0.793
0.674,-0.19,-0.775,2.441,-5.615,2.197
0.653,-0.189,-0.777,2.686,-7.507,5.737
0.634,-0.191,-0.763,0.244,-6.958,7.019
0.631,-0.189,-0.752,0.61,-5.798,7.507
