aX,aY,aZ,gX,gY,gZ
-0.535,0.033,0.854,-2.991,-3.418,-2.441
-0.532,0.032,0.853,-3.052,-4.639,-2.930
-0.541,0.035,0.848,-3.235,-6.897,-3.540
-0.541,0.042,0.838,-3.784,-7.874,-3.723
-0.545,0.048,0.825,-2.686,-9.644,-3.418
-0.540,0.051,0.815,-0.183,-9.827,-2.991
-0.533,0.055,0.804,2.380,-11.475,-2.502
-0.535,0.063,0.800,3.540,-12.024,-2.380
-0.539,0.067,0.798,4.089,-11.230,-2.502
-0.543,0.071,0.794,4.089,-10.742,-2.319
-0.545,0.072,0.789,3.906,-10.254,-1.648
-0.549,0.073,0.787,4.395,-9.399,-0.977
-0.548,0.072,0.783,5.920,-7.690,-1.343
-0.546,0.063,0.781,6.348,-6.226,-1.160
-0.541,0.059,0.781,5.188,-5.432,-0.610
-0.538,0.064,0.779,3.357,-5.005,-0.061
-0.542,0.061,0.782,3.845,-4.822,-0.671
-0.545,0.060,0.785,5.127,-3.357,-0.549
-0.545,0.060,0.783,5.310,-2.319,0.305

-0.266,0.786,-1.417,-54.993,155.212,59.143
-0.204,0.751,-1.325,-54.016,184.326,79.346
-0.116,0.675,-1.224,-46.631,212.769,102.356
-0.020,0.574,-1.133,-42.358,240.540,123.047
0.072,0.461,-1.010,-42.908,261.475,139.771
0.180,0.327,-0.824,-46.326,279.358,148.254
0.270,0.211,-0.619,-48.584,290.527,150.696
0.348,0.105,-0.475,-44.556,294.556,143.311
0.400,-0.011,-0.304,-47.363,292.236,123.291
0.325,-0.071,-0.166,-70.251,281.189,99.670
0.256,-0.072,-0.008,-95.886,267.639,75.867
0.114,0.006,0.100,-109.680,260.559,55.542
-0.069,0.057,0.255,-115.234,270.752,45.654
-0.210,0.059,0.447,-114.075,291.809,52.063
-0.344,0.034,0.717,-117.004,313.965,70.313
-0.321,-0.003,0.995,-121.338,340.698,91.125
-0.184,-0.013,1.287,-116.455,357.483,109.314
-0.211,-0.104,1.596,-110.840,355.652,117.065
-0.215,-0.182,1.827,-103.027,337.830,112.793
-0.263,-0.250,1.974,-86.304,302.185,97.290
-0.391,-0.305,2.027,-76.172,258.850,71.777
-0.571,-0.321,1.952,-76.416,218.201,46.997
-0.765,-0.301,1.898,-88.684,186.951,30.334
-0.839,-0.277,1.836,-97.046,168.579,20.874
-0.848,-0.244,1.767,-101.685,160.889,18.127
-0.858,-0.175,1.717,-105.225,155.579,19.104
-0.879,-0.103,1.675,-103.149,151.550,19.714
-0.895,-0.050,1.638,-89.600,151.367,24.475
-0.871,-0.049,1.611,-69.153,153.198,37.170
-0.805,-0.085,1.582,-48.218,154.053,50.781
-0.710,-0.135,1.519,-33.325,148.865,60.547
-0.647,-0.178,1.442,-25.452,130.798,63.660
-0.558,-0.203,1.359,-25.391,108.276,58.777
-0.668,-0.251,1.189,-22.339,88.196,46.021
-0.548,-0.304,1.003,-22.156,76.355,31.616
-0.613,-0.239,1.103,-44.312,47.241,20.874
-0.652,-0.013,1.095,-67.078,23.682,23.376
-0.640,-0.122,1.001,-31.372,27.649,7.385
-0.662,-0.129,0.973,-13.611,35.278,-6.287
-0.662,-0.036,0.961,-8.240,42.786,-1.892
-0.632,-0.107,0.993,4.028,48.767,1.221
-0.585,-0.085,1.015,3.418,49.805,7.935
-0.538,-0.076,1.025,7.690,46.936,13.672
-0.515,-0.107,1.003,15.503,38.696,12.268
-0.552,-0.123,0.957,16.602,31.555,11.963
-0.463,-0.101,0.941,17.761,26.733,12.329
-0.514,-0.155,0.972,18.860,13.550,8.545
